"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\angular.json", "JSON", 0, 113, 0, 0, 0, 0, 0, 0, 1, 114
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\package-lock.json", "JSON", 0, 8444, 0, 0, 0, 0, 0, 0, 1, 8445
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\angular-material.module.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 1, 79
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 7, 53
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\app.module.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 5, 7, 95
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\changepassword\changepassword.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\changepassword\changepassword.component.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 2, 0, 35
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\changepassword\changepassword.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\changepassword\changepassword.component.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 18, 74
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\log-in\log-in.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\log-in\log-in.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\log-in\log-in.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\log-in\log-in.component.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\authentication\register\register.component.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 9, 1, 56
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\dashboard\dashboard.component.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 3, 2, 36
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 21, 72
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\addemployerprofile\addemployerprofile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\addemployerprofile\addemployerprofile.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 11, 93
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\addemployerprofile\addemployerprofile.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\addemployerprofile\addemployerprofile.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 2, 15, 67
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\employerprofile\employerprofile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\employerprofile\employerprofile.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 2, 8, 52
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\employerprofile\employerprofile.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\employerprofile\employerprofile.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 18, 52
